,City,Country,Latitude,Longitude,Max Temp,Humidity,Wind Speed,Cloudiness
0,Hermanus,ZA,-34.42,19.24,52.41,96,3.71,0
1,Rikitea,PF,-23.12,-134.97,79.77,96,18.03,92
2,Cape Coast,GH,5.11,-1.24,76.62,84,5.84,32
3,Ribeira Grande,PT,38.52,-28.7,64.4,93,21.92,75
4,Cape Town,ZA,-33.93,18.42,66.2,72,11.41,0
5,Chuy,UY,-33.69,-53.46,69.42,73,15.23,0
6,Saskylakh,RU,71.97,114.09,-32.06,55,3.15,8
7,Port Lincoln,AU,-34.72,135.86,66.63,83,5.06,0
8,Copiapo,CL,-27.37,-70.33,71.6,53,11.41,0
9,Ushuaia,AR,-54.81,-68.31,51.8,43,13.87,40
10,Punta Arenas,CL,-53.16,-70.91,50.0,66,27.51,75
11,Faanui,PF,-16.48,-151.75,85.22,99,10.54,12
12,Ponta do Sol,CV,17.2,-25.09,71.6,68,11.41,0
13,Apatou,GF,5.16,-54.35,76.8,84,4.16,88
14,Tasiilaq,GL,65.61,-37.64,24.8,79,10.29,5
15,Upernavik,GL,72.79,-56.15,4.53,97,9.42,0
16,Beloit,US,39.46,-98.11,53.06,44,4.7,1
17,Yellowknife,CA,62.45,-114.38,3.2,84,3.36,90
18,Korla,CN,41.76,86.15,-1.37,72,2.37,36
19,Hun,LY,29.13,15.95,34.55,87,7.63,0
20,Ekhabi,RU,53.51,142.97,8.45,88,24.96,76
21,Kulhudhuffushi,MV,6.62,73.07,80.22,100,3.49,0
22,Albany,AU,-35.02,117.88,64.4,72,9.17,90
23,Port Elizabeth,ZA,-33.92,25.57,62.6,88,5.82,0
24,Hithadhoo,MV,-0.6,73.08,80.22,100,5.61,80
25,Atambua,ID,-9.11,124.89,81.75,98,2.71,8
26,Torbay,CA,47.66,-52.73,32.0,99,10.29,90
27,San Jose,GT,16.98,-89.9,83.55,45,3.15,36
28,Vaini,TO,-21.2,-175.2,78.8,88,8.05,90
29,Riyadh,SA,24.63,46.72,59.0,28,8.05,0
30,Lepley,RU,54.31,42.86,21.45,90,6.73,88
31,San Juan,AR,-31.54,-68.53,84.59,42,2.15,0
32,Busselton,AU,-33.64,115.35,70.37,91,15.12,0
33,Iqaluit,CA,63.75,-68.52,-7.61,76,9.17,90
34,Padang,ID,-0.92,100.36,75.2,94,3.36,20
35,Itarema,BR,-2.92,-39.92,80.31,83,13.44,92
36,Carnarvon,AU,-24.87,113.63,82.4,61,6.93,20
37,Pyapon,MM,16.29,95.68,74.37,78,10.54,0
